car_id,target_reg,num_fold
y13744087j,9492.96,0
O41613818T,2656.23,3
d-2109686j,1526.11,5
u29695600e,1338.0,6
N-8915870N,825.72,2
b12101843B,5069.89,5
Q-9368117S,3528.55,1
O-2124190y,24814.13,3
h16895544p,1851.93,0
K77009462l,4146.26,8
s45684436W,3725.06,1
E-7624014J,3278.12,6
I49569137x,3224.24,8
f20619972B,4539.21,1
N18554472N,4530.13,5
O-2225875m,846.4,3
B11433908y,470.6,7
K20059604P,2396.86,9
D10115495S,4151.84,0
s-2136281x,1204.19,6
z72983842Y,441.95,2
s-1094161i,4831.8,6
Z-1155909A,4165.56,1
Z-1196295K,854.46,1
i31421704Y,3352.57,4
t10463236f,9931.92,4
v13404305i,3182.07,3
m20203244V,2155.83,8
k-1015732Y,791.31,1
m-8965256V,6240.59,9
U13022243O,2011.84,2
j12330862q,1737.21,3
C-5320082T,4193.79,8
s17672064L,1317.98,1
d19359573S,1778.52,0
O22361854N,2605.17,9
i-1479300M,3151.92,0
L60286103R,5140.35,3
p26377723i,1700.22,2
W-1512641W,931.67,4
y-3838245t,2084.35,6
b-2719977Z,2417.85,3
D-2109758O,388.89,9
M89853598O,3184.16,7
z34396656x,6997.92,1
S19803153J,1818.35,1
y35650754l,4108.2,9
U-1719392C,1753.55,4
Q12359942h,2640.76,0
F-2082660j,3259.36,3
C15164392z,3261.91,5
A-6969550V,1177.22,0
H21489304G,3413.66,0
Y-4731644Z,2949.02,5
Y-1002609O,1018.06,2
q11941907L,5891.36,8
W17831606Y,4870.08,1
u-1788771U,716.56,4
F-1257166O,1678.7,4
k82740809C,1158.26,5
A13746070T,1131.87,5
E-1356165C,2489.56,9
w-1247670S,5781.02,1
t11173721p,1733.67,0
i-1340626g,2795.67,0
G11530237Q,490.68,1
z-1854947J,4794.82,4
G-1102710u,943.47,5
q-1861373D,979.91,0
F-1720906M,19080.4,4
N-1361542t,4311.55,1
b-1432630h,1072.63,1
h-5381376K,9640.15,7
P-1870462h,6382.65,0
v-9248915k,1037.44,8
K51907129A,5447.62,6
X-1892335q,1028.13,7
v19385068r,2229.25,3
m-9741436p,6296.87,9
I13605989C,2520.95,6
C-1374739x,2225.07,8
h20080273C,555.26,2
g-1944591e,5631.93,2
b17225071g,781.04,5
O13657804w,8077.89,6
V-7306183J,2345.16,5
