ID,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance,Chemistry,Astrology,Spaceology,Life Science,Earth Science,Data Science,kfold
9431,1,0,1,1,0,0,0,0,0,0,0,0,2
7960,1,1,0,1,0,0,0,0,0,0,0,1,0
8578,1,1,0,1,0,0,0,0,0,1,0,0,3
1651,1,0,1,1,0,0,0,0,0,0,0,0,3
4011,1,0,1,1,0,0,0,0,0,0,0,0,2
5204,1,0,1,1,0,0,0,0,0,1,0,0,1
1015,1,1,0,1,0,0,0,0,0,0,0,0,1
5344,1,0,1,1,0,0,0,0,0,1,0,1,3
3224,1,0,1,1,0,0,0,0,0,1,0,1,1
3229,1,0,1,1,0,0,0,0,0,0,0,0,1
5863,1,1,0,1,0,0,0,0,0,1,0,1,2
7201,1,0,1,1,0,0,0,0,0,0,0,1,1
640,0,1,1,1,0,0,0,0,0,0,0,0,2
512,1,0,1,1,0,0,0,0,0,1,0,1,1
7955,1,0,1,1,0,0,0,0,0,0,0,0,2
8599,1,0,1,1,0,0,0,0,0,0,0,1,2
2759,1,0,1,1,0,0,0,0,0,0,0,1,0
2176,1,0,1,1,0,0,0,0,0,1,0,1,3
6897,1,0,1,1,0,0,0,0,0,1,0,1,3
9624,1,0,1,1,0,0,1,0,0,1,0,0,1
1713,1,0,1,1,0,0,0,0,0,1,0,0,2
8219,1,1,1,0,0,0,0,0,0,0,0,1,3
1595,1,1,0,1,0,0,0,0,0,1,0,0,2
2117,1,0,1,1,0,0,0,0,0,0,0,0,3
8788,1,1,1,0,0,0,0,0,0,1,0,0,2
6109,1,0,0,1,1,0,0,0,0,0,0,0,2
1935,1,0,1,1,0,0,0,0,0,0,0,0,2
3185,1,0,1,1,0,0,1,0,0,1,0,1,2
105,1,0,1,1,0,0,0,0,0,1,0,0,1
7014,1,0,1,1,0,0,0,0,0,0,0,0,2
4982,1,0,1,1,0,0,0,0,0,1,0,0,2
675,1,0,1,1,0,0,0,0,0,0,0,1,1
8224,1,0,1,1,0,0,0,0,0,0,0,0,0
